"userID","createDate","row","category","trait","percentage","sampling_error"
"BarackObama",2016-09-21,1,"Personality","Openness",85.78,0.0548
"BarackObama",2016-09-21,2,"Personality","Adventurousness",94.49,0.0474
"BarackObama",2016-09-21,3,"Personality","Artistic interests",64.43,0.0972
"BarackObama",2016-09-21,4,"Personality","Emotionality",12.78,0.0447
"BarackObama",2016-09-21,5,"Personality","Imagination",25.32,0.059
"BarackObama",2016-09-21,6,"Personality","Intellect",96.43,0.0516
"BarackObama",2016-09-21,7,"Personality","Liberalism",63.31,0.0782
"BarackObama",2016-09-21,8,"Personality","Conscientiousness",96.73,0.071
"BarackObama",2016-09-21,9,"Personality","Achievement striving",97.49,0.0921
"BarackObama",2016-09-21,10,"Personality","Cautiousness",97.06,0.0852
"BarackObama",2016-09-21,11,"Personality","Dutifulness",87.35,0.0567
"BarackObama",2016-09-21,12,"Personality","Orderliness",86.78,0.0656
"BarackObama",2016-09-21,13,"Personality","Self-discipline",98.11,0.0437
"BarackObama",2016-09-21,14,"Personality","Self-efficacy",99.6,0.0862
"BarackObama",2016-09-21,15,"Personality","Extraversion",73.84,0.0519
"BarackObama",2016-09-21,16,"Personality","Activity level",91.65,0.0721
"BarackObama",2016-09-21,17,"Personality","Assertiveness",99.88,0.0774
"BarackObama",2016-09-21,18,"Personality","Cheerfulness",38.25,0.0966
"BarackObama",2016-09-21,19,"Personality","Excitement-seeking",33.54,0.0769
"BarackObama",2016-09-21,20,"Personality","Friendliness",76.25,0.07
"BarackObama",2016-09-21,21,"Personality","Gregariousness",47.9,0.0543
"BarackObama",2016-09-21,22,"Personality","Agreeableness",39.7,0.0905
"BarackObama",2016-09-21,23,"Personality","Altruism",93.68,0.0658
"BarackObama",2016-09-21,24,"Personality","Cooperation",51.18,0.0749
"BarackObama",2016-09-21,25,"Personality","Modesty",9.8,0.0512
"BarackObama",2016-09-21,26,"Personality","Morality",78.5,0.0585
"BarackObama",2016-09-21,27,"Personality","Sympathy",98.83,0.0907
"BarackObama",2016-09-21,28,"Personality","Trust",82.27,0.0514
"BarackObama",2016-09-21,29,"Personality","Neuroticism",94.76,0.0833
"BarackObama",2016-09-21,30,"Personality","Anger",1.88,0.0873
"BarackObama",2016-09-21,31,"Personality","Anxiety",2.2,0.0507
"BarackObama",2016-09-21,32,"Personality","Depression",2.7,0.0537
"BarackObama",2016-09-21,33,"Personality","Immoderation",0.18,0.0495
"BarackObama",2016-09-21,34,"Personality","Self-consciousness",3.52,0.052
"BarackObama",2016-09-21,35,"Personality","Vulnerability",0.42,0.0789
"BarackObama",2016-09-21,36,"Needs","Challenge",33.17,0.0779
"BarackObama",2016-09-21,37,"Needs","Closeness",11.2,0.0771
"BarackObama",2016-09-21,38,"Needs","Curiosity",41.56,0.1099
"BarackObama",2016-09-21,39,"Needs","Excitement",17.84,0.1003
"BarackObama",2016-09-21,40,"Needs","Harmony",14.38,0.0995
"BarackObama",2016-09-21,41,"Needs","Ideal",11.74,0.0904
"BarackObama",2016-09-21,42,"Needs","Liberty",10.34,0.134
"BarackObama",2016-09-21,43,"Needs","Love",10.02,0.0913
"BarackObama",2016-09-21,44,"Needs","Practicality",18.01,0.0802
"BarackObama",2016-09-21,45,"Needs","Self-expression",14.66,0.0755
"BarackObama",2016-09-21,46,"Needs","Stability",60.74,0.0979
"BarackObama",2016-09-21,47,"Needs","Structure",74.81,0.0736
"BarackObama",2016-09-21,48,"Values","Conservation",35.2,0.0645
"BarackObama",2016-09-21,49,"Values","Openness to change",34.58,0.0604
"BarackObama",2016-09-21,50,"Values","Hedonism",7.18,0.1255
"BarackObama",2016-09-21,51,"Values","Self-enhancement",4.64,0.0947
"BarackObama",2016-09-21,52,"Values","Self-transcendence",4.58,0.0725
